2011.0.00170.S_2013-07-22	uid://A002/X5784d5/X15c	
2011.0.00083.S_2012-10-30	uid://A002/X463144/X7f5	
2011.0.00083.S_2012-10-30	uid://A002/X463144/X922	
2011.0.00083.S_2012-10-30	uid://A002/X4b71b4/X616	
2011.0.00210.S_2012-11-05	uid://A002/X4b1170/Xa3a	
2011.0.00273.S_2012-11-05	uid://A002/X4ae797/X776	
2011.0.00273.S_2012-11-05	uid://A002/X45e2af/X458	
2011.0.00208.S_2012-11-12	uid://A002/X51ac2a/X35f	
2011.0.00208.S_2012-11-12	uid://A002/X51ac2a/X4dc	
2011.0.00539.S_2012-11-11	uid://A002/X47bd4d/X98b	
2011.0.00539.S_2012-11-11	uid://A002/X496ee3/X28f	
2011.0.00121.S_2012-11-06	uid://A002/X41f8d2/Xbf5	
2011.0.00121.S_2012-11-06	uid://A002/X4ae797/X5ca	
2011.0.00656.S_2012-11-06	uid://A002/X496160/X2d4	
2011.0.00656.S_2012-11-06	uid://A002/X4b1170/X447	
2011.0.00210.S_2012-11-15	uid://A002/X4927e8/X455	
2011.0.00210.S_2012-11-15	uid://A002/X4927e8/X634	
2011.0.00511.S_2012-11-06	uid://A002/X4b29af/X818	
2011.0.00097.S_2012-11-14	uid://A002/X52f1e2/X6cd	
2011.0.00136.S_2012-11-06	uid://A002/X31ab3d/X257	
2011.0.00136.S_2012-11-06	uid://A002/X31ceee/Xe8	
2011.0.00136.S_2012-11-06	uid://A002/X32d5f1/X2f0	
2011.0.00136.S_2012-11-06	uid://A002/X32f196/X170	
2011.0.00259.S_2012-11-06	uid://A002/X4b29af/Xab7	
2011.0.00017.S_2012-11-20	uid://A002/X44ddb2/X64a	
2011.0.00017.S_2012-11-20	uid://A002/X47ed8e/X3cd	
2011.0.00017.S_2012-11-20	uid://A002/X494155/X23a	
2011.0.00017.S_2012-11-20	uid://A002/X4b29af/X403	
2011.0.00396.S_2012-11-20	uid://A002/X497d07/X1b2	
2011.0.00396.S_2012-11-20	uid://A002/X4afc39/X72	
2011.0.00396.S_2012-11-20	uid://A002/X4afc39/X25f	
2011.0.00097.S_2012-11-18	uid://A002/X517008/X438	
2011.0.00223.S_2012-11-22	uid://A002/X518d2b/X71a	
2011.0.00223.S_2012-11-22	uid://A002/X51ac2a/X62a	
2011.0.00097.S_2012-11-19	uid://A002/X517008/X617	
2011.0.00097.S_2012-11-20	uid://A002/X51ac2a/Xb0f	
2011.0.00525.S_2012-10-03	uid://A002/X41f8d2/X4f	
2011.0.00525.S_2012-10-03	uid://A002/X40f691/X4e6	
2011.0.00108.S_2012-11-28	uid://A002/X47b743/X130	
2011.0.00108.S_2012-11-28	uid://A002/X515b5c/X279	
2011.0.00120.S_2012-11-21	uid://A002/X4ae797/X90	
2011.0.00120.S_2012-11-21	uid://A002/X4b483b/X3c1	
2011.0.00120.S_2012-11-21	uid://A002/X4b71b4/X1f	
2011.0.00120.S_2012-11-21	uid://A002/X4ba082/X18a	
2011.0.00716.S_2012-11-28	uid://A002/X518d2b/X4b7	
2011.0.00199.S_2012-11-20	uid://A002/X460fc9/Xa91	
2011.0.00199.S_2012-11-20	uid://A002/X4afc39/Xa3a	
